#, 3-7, 3-8, 3-12, 3-13, 3-17, 3-18, 7-12, 7-13, 7-17, 7-18, 12-17, 12-18, 13-15, 13-16
1, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.060000
2, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.000000, 0.000000
3, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.000000, 0.000000
4, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.000000, 0.000000
5, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.000000, 0.000000
6, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.000000, 0.000000
7, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.000000, 0.000000
8, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.000000, 0.000000
9, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.050000, 0.000000
10, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.320000, 0.000000, 0.060000, 0.000000
